Korean Together,Korean,Ko to En
내가 39801,내가 ,I 
그 35563,그 ,that 
난 35163,난 ,I am 
내 33774,내 ,my 
안 32915,안 ,not 
수 32814,수 ,number 
이 30671,이 ,this 
네 29504,네 ,yes 
거야 27633,거야 ,going to be 
좀 25742,좀 ,a little 
그래 23453,그래 ,okay 
있어 21329,있어 ,there is 
왜 20645,왜 ,why 
더 18760,더 ,more 
그리고 18551,그리고 ,and 
우리 18186,우리 ,we 
다 16549,다 ,all 
무슨 16460,무슨 ,what 
한 16214,한 ,one 
하지만 16213,하지만 ,but 
잘 15904,잘 ,well 
어떻게 15731,어떻게 ,how 
할 15599,할 ,will do 
그냥 15379,그냥 ,just 
정말 14958,정말 ,really 
그럼 14659,그럼 ,then 
것 14409,것 ,thing 
게 14358,게 ,crab 
있어요 13941,있어요 ,there is 
있는 13759,있는 ,There is
해 13611,해 ,sun 
여기 13433,여기 ,here 
넌 13292,넌 ,you 
제가 13261,제가 ,I am 
날 12972,날 ,me 
우리가 12700,우리가 ,we 
건 12616,건 ,case 
전 12614,전 ,jeon 
이제 12601,이제 ,now 
지금 12460,지금 ,now 
그게 12424,그게 ,that is 
걸 12262,걸 ,girl 
거 11944,거 ,thing 
아니 11876,아니 ,no 
네가 11838,네가 ,you 
없어 11729,없어 ,doesn't exist 
돼 11157,돼 ,Okay
저 11122,저 ,I 
우린 11000,우린 ,We
제 10893,제 ,my 
못 10751,못 ,pond 
좋아 10712,좋아 ,good 
당신이 10649,당신이 ,you 
다른 10052,다른 ,different 
나 10042,나 ,me 
그런 9723,그런 ,that 
그건 9628,그건 ,that 
너무 9580,너무 ,too 
그래서 9537,그래서 ,so 
그렇게 9343,그렇게 ,like that 
다시 9331,다시 ,again 
이건 9257,이건 ,This is
이런 9239,이런 ,this 
나도 8962,나도 ,me too 
모든 8945,모든 ,every 
당신 8885,당신 ,you 
거예요 8824,거예요 ,It is
당신은 8666,당신은 ,you are 
아 8433,아 ,ah 
좋은 8356,좋은 ,good 
오 8097,오 ,oh 
때 8062,때 ,at the time 
너 7660,너 ,you 
하는 7645,하는 ,doing 
하고 7509,하고 ,do 
아냐 7489,아냐 ,no 
나는 7474,나는 ,I am 
아니야 7427,아니야 ,no 
알아 7424,알아 ,know 
