Japenese Together,Japanese,Ja to En
い 562128,い ,stomach 
の 528682,の ,of 
は 454150,は ,teeth 
て 435936,て ,hand 
た 412308,た ,Ta 
に 400494,に ,To
な 387456,な ,N
を 354736,を ,of 
る 339479,る ,R
だ 329627,だ ,is 
が 304201,が ,but 
で 271809,で ,in 
し 252746,し ,death 
っ 250279,っ ,S
か 177003,か ,mosquito 
と 168462,と ,and 
も 143094,も ,too 
ん 135029,ん ,yeah 
す 132461,す ,vinegar 
よ 130575,よ ,Yo 
う 100377,う ,cormorant 
ま 92194,ま ,Ma 
私 82967,私 ,I 
ら 82820,ら ,and others 
く 80816,く ,Ku 
何 76935,何 ,what 
わ 68888,わ ,circle 
から 68312,から ,from 
あ 60859,あ ,a 
れ 59474,れ ,R
ね 56704,ね ,hey 
する 54126,する ,do 
それ 53763,それ ,that 
彼 53454,彼 ,he 
さ 52641,さ ,difference 
ろ 50908,ろ ,reactor 
こと 50409,こと ,thing 
そう 46126,そう ,yes 
あなた 45798,あなた ,you 
お 42361,お ,oh 
どう 42338,どう ,copper 
君 41605,君 ,you 
せ 40335,せ ,height 
言 39937,言 ,words
俺 38583,俺 ,I 
や 38289,や ,or 
じゃ 35043,じゃ ,well 
り 34389,り ,the law of nature 
かっ 34205,かっ ,Cool
行 33434,行 ,line
よう 32440,よう ,Hello
くれ 30263,くれ ,Give
これ 30212,これ ,this 
この 29245,この ,this 
事 28067,事 ,case 
ここ 27715,ここ ,here 
人 26994,人 ,person
知 26928,知 ,knowledge
き 26748,き ,tree 
ば 26411,ば ,Ba 
その 26334,その ,the 
誰 26180,誰 ,who
彼女 26034,彼女 ,she 
思 25686,思 ,Thoughts
見 25395,見 ,look 
って 25300,って ,What?
お前 24854,お前 ,You
話 24173,話 ,Story
だっ 23764,だっ ,Yes.
つ 23687,つ ,t
ぞ 23066,ぞ ,Right
さん 22435,さん ,Mr. Miss 
もう 21135,もう ,already 
来 19688,来 ,Next
僕 19452,僕 ,I 
しょ 19242,しょ ,Sho 
でき 19106,でき ,Can
だけ 19103,だけ ,only 
なら 19035,なら ,Then
者 18932,者 ,person 
わか 18316,わか ,waka 
今 18255,今 ,now 
分か 18185,分か ,Minutes
たち 16613,たち ,Us
聞 15699,聞 ,Listen
出 15627,出 ,Out
まで 15275,まで ,to 
けど 15216,けど ,But
どこ 15194,どこ ,where 
られ 15111,られ ,Be
死 14939,死 ,death
へ 14786,へ ,fart 
時 14578,時 ,time
殺 14426,殺 ,murder
達 14339,達 ,reach
ああ 13932,ああ ,ah 
